"","SSA_00254","SSA_00001","SSA_00079","SSA_00229","SSA_00075","SSA_00067","SSA_00239","SSA_00138","SSA_00008","SSA_00024","SSA_00204","SSA_00033","SSA_00097","SSA_00227","SSA_00216","SSA_00004","SSA_00007","SSA_00096","SSA_00105","SSA_00135","SSA_00119","SSA_00286"
"Km2_HCO3",0.0625054153827686,0.0507730571325546,0.0481288553988447,0.0580981401822682,0.0563213055286066,0.0569588468988574,0.0611419397052923,0.0527031330257026,0.0457882526133333,0.0570370566835983,0.0618755363462405,0.0528167509164182,0.0541062683649605,0.048558872072817,0.0561031211779612,0.0558594283222732,0.0631727959339413,0.0568839469944708,0.0527922083990139,0.0484693338768001,0.0526163988945223,0.0549318720102055
"Km2_PEP",0.143114105807707,0.212781931587889,0.265172271727852,0.162738841846091,0.256589430793785,0.203774194837633,0.150825930508687,0.203816137427128,0.272420455713079,0.126682870162456,0.151609688593686,0.171388673897262,0.186179829240728,0.203058565345782,0.185560322414478,0.202306356395206,0.120905484904977,0.21936864049841,0.216554365279112,0.251154290705738,0.224335187762005,0.161279256907503
"Km6_CO2",0.0255275172763193,0.0281349881643762,0.0288156323036874,0.0244408904843371,0.0266196244556706,0.0247780703066999,0.0266974337123498,0.0266204429900958,0.0234414172393546,0.0215482652871033,0.032265119049109,0.0311457867462382,0.0288041032551282,0.0286722045353395,0.0288825554172457,0.0275814210808861,0.0414413192398128,0.0215974641566017,0.0261182499871066,0.0238638201363041,0.0282066810546398,0.0291294311827786
"Km6_O2",0.2516669963836,0.339733598440643,0.269852373628895,0.220018733614341,0.214233200964282,0.256571424472298,0.265183817927005,0.297141115214874,0.248828863083537,0.226156906591664,0.249539796312376,0.316030953849523,0.298988658274224,0.307725859158529,0.210856308503446,0.233870186229149,0.219259853843383,0.270456750538835,0.221059409660184,0.233838540051029,0.262618145573858,0.291497915190259
"Km7_PGA",4.13210177817835,4.26076655313871,5.63299217514231,4.31857253183807,4.67471999618832,5.33734852987557,5.35998145867105,4.95251196952417,3.82671224058788,4.97249460267351,4.77825812145592,5.13284713927816,3.99189680219248,4.24449352490507,4.65973764385782,4.59421894680143,3.46958579544415,4.9079834835159,5.06792980931492,6.09654446343445,4.51452697212078,4.83916956689062
"Km10_GAP",0.0530153321119922,0.0774656798760546,0.0686201746037925,0.0439204818553289,0.0644384457465399,0.0609193078391568,0.056417735433494,0.0648448504214359,0.0590411287390055,0.0526834185116762,0.0530655265603804,0.0594143388679996,0.0623337073959129,0.0653672767325008,0.0572900912276939,0.0588956947500003,0.075094053967808,0.0628918057874833,0.0580337422648374,0.0539060258596233,0.0670413438615618,0.0627659828846937
"Km12_DHAP",0.586784866523262,0.548651598843462,0.550338046679263,0.556915365093778,0.670980161228527,0.6871979708918,0.72913034751407,0.641623410395242,0.520177173778808,0.516709008617344,0.58399417183684,0.631351264912707,0.567492039990294,0.515548382407469,0.38197758083212,0.504722580643464,0.623420334122871,0.530391444160388,0.377487680798079,0.54114114314782,0.455581343970278,0.511637923947892
"Km12_E4P",0.289707601488416,0.365626928425887,0.288325505278724,0.221514100218389,0.24762149882176,0.290001624481346,0.272708478557089,0.251882266999489,0.305868923031543,0.296524467754409,0.263381910223756,0.245946220200954,0.273944913447965,0.301194990063677,0.306264440601122,0.253864775076892,0.319240181012565,0.407209076352199,0.296079802299384,0.276788887652352,0.306215743106761,0.313931017896052
"Km14_GAP",0.151919694869868,0.118275109911062,0.0962914653235807,0.107614825787616,0.0980146560941215,0.144484953917079,0.103460191695231,0.111064158301601,0.108713022612068,0.168203002745618,0.135527054697141,0.13444835390253,0.142349963860588,0.117561695728884,0.14541655502244,0.167813542070686,0.077204123720007,0.103506727809051,0.123662748331227,0.11903441790083,0.142366975379611,0.134154032895503
"Km18_Ru5P",0.0567434254791462,0.0468294478018111,0.0565232722890806,0.05446858855646,0.0525526863674976,0.0568526847347516,0.0555367322810166,0.0526813136675009,0.0428695991692542,0.0558041977647018,0.0532868820462745,0.0573507694857734,0.0395206617147876,0.0447151541409087,0.0441035346674,0.0585259021087978,0.0508989826693239,0.0468475023202123,0.0660823237587086,0.0538362010188593,0.0574555512151174,0.0507018729165812
