"","SSA_00123","SSA_00254","SSA_00367","SSA_00178","SSA_00275","SSA_00079","SSA_00070","SSA_00160","SSA_00312","SSA_00091","SSA_00186","SSA_00096","SSA_00001","SSA_00299","SSA_00126","SSA_00080","SSA_00209","SSA_00135","SSA_00139","SSA_00110","SSA_00013","SSA_00222","SSA_00286"
"Km2_HCO3",0.0514821194527857,0.0514826593291321,0.0514823458379733,0.0514819392028651,0.0514821925089529,0.051481563001213,0.0514821962138468,0.0514819319241741,0.0514826406034122,0.0514818018736706,0.0514820539068492,0.0514826672462496,0.0514816329875535,0.0514822954466761,0.0514819566802783,0.0514827398842538,0.0514819638069908,0.0514817236325981,0.0514816944020101,0.0514816247286403,0.0514820290530955,0.0514821962361168,0.0514819586349042
"Km2_PEP",0.176685088782709,0.176687133437746,0.176681616797978,0.176689854421188,0.176687023060173,0.176692575022898,0.176683637950363,0.17668969912434,0.176686409553258,0.176687109311937,0.17668854426213,0.176688477000528,0.176692029408461,0.176686344907681,0.176686190030948,0.176684869460543,0.176685676143794,0.176689692437539,0.176685758935025,0.176688260550984,0.176688717766295,0.176685317395382,0.17668377571881
"Km6_CO2",0.0276869687774053,0.0276866288889966,0.0276869222817391,0.0276867048764302,0.0276868404841549,0.0276872044119985,0.0276869290720889,0.0276868242885305,0.0276864812032091,0.0276871281285735,0.0276869184503348,0.0276865645368608,0.0276872202967359,0.0276869887284207,0.0276866279513985,0.0276865717678614,0.0276871102471962,0.027686755576748,0.0276871167284193,0.0276870647492427,0.0276866448528294,0.0276868874808015,0.0276868981027991
"Km6_O2",0.234199810062107,0.234199130676984,0.234196973385692,0.234203300948901,0.234203894409755,0.234200065518101,0.234203608330767,0.234195322234126,0.234199582246268,0.234201597747417,0.234201218759028,0.234197897281809,0.234199845926043,0.234202303923147,0.234196284003909,0.234203020429399,0.234198956435509,0.234201235290595,0.234198860546204,0.234202730041016,0.234200984285454,0.234204641547006,0.234202668868415
"Km7_PGA",5.57124842774305,4.29506073250853,4.97278966329344,4.55266700483434,4.66920699951309,5.39140311397948,4.59535219467405,4.89384645758274,4.59507291610405,4.22480943742057,5.37882260099669,5.19790532911345,4.07529134451196,3.86710355135538,4.83368134838384,5.53887845807499,4.36975154083181,5.74937841843216,4.17325148688344,4.90970751639455,5.00062179576059,4.2472375664541,5.11864145350915
"Km10_GAP",0.0552442506493614,0.0518245016399562,0.0548927616791335,0.0539370572044901,0.0549357514821448,0.05989459605977,0.0501983849108158,0.0494287168947713,0.0513102301104836,0.048692642280542,0.0569566017117287,0.0581530584598166,0.0622276181523762,0.0507554180238118,0.0489511089886846,0.0542162375194702,0.0572187677892283,0.0546151131142755,0.0595082607548884,0.0538383338044412,0.0513830042821032,0.0510344881874776,0.0507294921860457
"Km12_DHAP",0.570954892126253,0.570949161500758,0.570952807963278,0.570954920064019,0.570954493637593,0.570948429734565,0.570961233810265,0.570935714166814,0.570938577482562,0.570945803799913,0.57095207905875,0.570960368557301,0.570951519540497,0.570960373436437,0.570940326547083,0.570964865526024,0.570947545392856,0.570956181177819,0.57094720067256,0.570947526383547,0.570952363278365,0.570956322638528,0.57095384911188
"Km12_E4P",0.261134429626517,0.261135124299282,0.26113499023117,0.261141087860545,0.261135378479796,0.261135126675748,0.261141858053905,0.261139770644641,0.261135294002003,0.261137681127419,0.261137914528294,0.261142331276179,0.261132265624019,0.261139960186997,0.261138289167719,0.261136247026732,0.261136949824404,0.261135003173368,0.261142114288851,0.261134042566779,0.261134479985249,0.261135819749348,0.261137113009582
"Km14_GAP",0.104103805237302,0.106200228830237,0.104253553706836,0.102899728992854,0.103333143430839,0.103934227181069,0.103149274385745,0.108433678730765,0.101858035922933,0.111260938326741,0.112826211464479,0.100463296423636,0.101222719225789,0.0996491242242172,0.104611449351106,0.107930835014991,0.111067228438588,0.107292736627614,0.106049047307692,0.107818563783852,0.105861963019411,0.104816050552116,0.107949888771449
"Km18_Ru5P",0.0604620999471473,0.0604622171211225,0.0604611938579335,0.0604608879179545,0.0604620048934358,0.0604629370431211,0.0604607444553846,0.0604620573188507,0.0604613934535702,0.0604604334552584,0.0604609057018596,0.0604610788455154,0.0604611357883552,0.0604617064958309,0.0604624884784009,0.0604612819715511,0.0604616631182238,0.0604613459448417,0.0604618973667856,0.0604625989081376,0.0604611161602173,0.0604609573712949,0.060460897674984
"Ki57",0.248565829445678,0.258270269747742,0.284572021362133,0.241230316627939,0.161454333965096,0.208809906135864,0.268708831816502,0.263114865792928,0.232614473932115,0.239146040179693,0.208931922776421,0.268400245226431,0.0397231086328741,0.306106930605358,0.306062445222278,0.154407705699058,0.181744770277817,0.180986103425096,0.326841387594735,0.288595181605364,0.196989425426623,0.195106057035779,0.207187684492622
"Vm6y22",0.0709142672402708,0.0737674558551951,0.0669385653081354,0.0719994802971754,0.0792319332565295,0.0838167426448643,0.0694074536738615,0.0719272486652409,0.0699144866173481,0.0639740624108778,0.0679346191721789,0.0705276669357928,0.0866954544877841,0.0741736747593469,0.0700972966073915,0.0630748972324383,0.07515574212974,0.0680228460439623,0.067886240300907,0.0675658830429986,0.0704072576730807,0.0682511794039553,0.0679703408469472
"Jmaxy22",0.872419179289979,1.01932558116528,0.959072183768415,0.954562433017657,0.96434464726276,0.955405544435013,0.954047356201803,0.938011952576599,0.930643420261104,0.966303819993597,0.995654687053226,0.949273019447934,0.906834954646258,0.939046841729904,1.02292688292697,0.966216503485746,0.985417815272014,0.955529608634915,1.00896322351835,1.00106562965076,0.993718868223049,0.934742895460833,0.948957273168342
"KaRac",17.9711872998662,17.9713670355762,17.9710860998025,17.9717394553217,17.971514626006,17.971915028983,17.9716337683575,17.971564296425,17.9709959901222,17.9710341990997,17.9711105175176,17.9713788709296,17.9716130402713,17.9714446117939,17.9717251861786,17.9713681326958,17.9713102845013,17.9716306005571,17.971016770129,17.9714634403435,17.9716850130714,17.9715440718078,17.9716470019519
"tao_ActRubisco",221.367791704009,221.368717502859,221.369220194107,221.369006723554,221.368774923814,221.367027249197,221.368973150667,221.3670707659,221.368500491966,221.366305313622,221.365884593509,221.363596449293,221.368012963524,221.367179282252,221.369703235672,221.367756976397,221.369782268626,221.367329319467,221.365204865256,221.367782339152,221.369939219067,221.369026587705,221.368176932148
"Perm_CO2",0.126816103934723,0.103820069733366,0.112513505622557,0.121369152255093,0.121602049933499,0.0842525323195188,0.091551417163823,0.10798255444341,0.136572745871056,0.116176692451438,0.14412919630809,0.0980797341949623,0.0699395332122629,0.0906647304382578,0.0592342260737552,0.098596713595955,0.108835575659468,0.134979111431632,0.177094800451329,0.149557217274462,0.0935215641266646,0.147276782794116,0.125796893708138
"BBslope",2.69946107419237,2.69945246555446,2.69944739531845,2.69946840618346,2.69946998637313,2.6994662184883,2.69945686339016,2.6994627760026,2.69946930586719,2.69946126319835,2.69946183604217,2.69945838506101,2.69948818283512,2.69945619983138,2.69944274635897,2.69946165067125,2.69946291968625,2.69946206156202,2.69944053383676,2.69946328210852,2.69946144570706,2.69946847591733,2.69944498430945
"MRd",1.13309108631707,1.03856530193131,1.06154491429603,1.20850949588351,1.03328598700956,1.39028531237311,1.05147627704044,1.63620119169207,1.02082791780208,1.03678540630274,1.08442448622082,0.737338466000815,1.31578120185599,1.13602715431307,1.00915012471334,0.894079056509784,1.11812976446787,1.10737992311862,0.719637258598256,1.2243281523029,1.09772319483869,1.17842407890153,1.18920316283219
