"","SSA_00018","SSA_00110","SSA_00091","SSA_00275","SSA_00178","SSA_00271","SSA_00009","SSA_00070","SSA_00097","SSA_00004","SSA_00126","SSA_00235","SSA_00239","SSA_00254","SSA_00128","SSA_00367","SSA_00286","SSA_00105","SSA_00075","SSA_00080","SSA_00068","SSA_00008","SSA_00222"
"Km2_HCO3",0.0478339220547777,0.0478336725994258,0.0478337818285674,0.0478333466597152,0.0478333041175242,0.0478341685099651,0.0478327470296414,0.0478332963775143,0.0478342087656662,0.0478335789513012,0.0478332839226151,0.0478332459110399,0.0478338345533518,0.0478339928349442,0.0478341960000124,0.0478338316756067,0.0478336025525353,0.0478336065754875,0.0478339593289059,0.0478343211764038,0.0478343259970857,0.0478328434449787,0.0478337261699501
"Km2_PEP",0.186162227765825,0.186165078705081,0.186161292686606,0.186162883516403,0.186164558415004,0.186164442111366,0.186165121578713,0.186158300888298,0.186159273387771,0.186162275780767,0.186160913570739,0.186163359120568,0.186160250049495,0.186164394618598,0.18616116722477,0.186156842609705,0.18616038515447,0.186165072993683,0.186165041032664,0.186158099724686,0.186164183858955,0.186165712679914,0.18616005063169
"Km6_CO2",0.0236297046860369,0.023629887873511,0.0236301201776127,0.0236297151132814,0.0236297330024511,0.0236299499388424,0.0236298965981514,0.0236299217769212,0.0236298655806812,0.0236297148955194,0.0236295040414964,0.0236298921693008,0.0236295364362941,0.0236293122622283,0.0236297444693437,0.0236299791838133,0.0236298358389018,0.0236297259106438,0.0236295252951809,0.0236296478397935,0.0236294505142632,0.0236297735101897,0.0236299232326403
"Km6_O2",0.236583874294361,0.236585162374736,0.236581980800215,0.236583641133491,0.236581586412878,0.236584265186544,0.236586694386596,0.236583377556976,0.236584389193139,0.236580812856837,0.236579339530509,0.236582624004093,0.236582001857877,0.236582895912234,0.236584044848744,0.236580603843927,0.236584694852821,0.236577600766691,0.236579816646656,0.236583043246211,0.236581796369892,0.236579645830118,0.236583162014298
"Km7_PGA",4.36247249800739,4.88446364571782,4.39890012713733,4.83223836348477,4.66498414406745,5.50357122460598,5.14833670054253,4.75066676162358,4.42274064933234,4.77858412013961,4.93779305490816,4.7125105645165,5.04910404515195,4.6806560738442,5.19202776869474,4.98714256023764,5.05043672123973,4.9657551139938,4.89206228521423,5.12896989653486,5.07165708590714,4.3944504630997,4.58420740261549
"Km10_GAP",0.0501733470712528,0.0417188666787433,0.0367399182591781,0.0524429299495973,0.0479955418901298,0.0630358912291824,0.0602287955977102,0.0475586043094483,0.0515337216686871,0.0512656399382032,0.0397971354505703,0.0592147739977553,0.0526971695508969,0.0499931232032993,0.0501927867379339,0.0537494657830864,0.0569198883677136,0.0476572049298403,0.0427430772203224,0.0559455938611861,0.0438085271930887,0.0500013983280712,0.050614439689899
"Km12_DHAP",0.439837024380951,0.619774372832296,0.445646790683094,0.655827270801822,0.66362411342467,0.425908465303958,0.758111249573823,0.701032899537824,0.714123018098668,0.545436333773174,0.315258698078589,0.547466433404693,0.74070980305633,0.587105097670912,0.67957881763318,0.504433536263807,0.668058235798699,0.298862291084195,0.581076175921112,0.724526963896343,0.582983633727168,0.536292255568632,0.662408344927857
"Km12_E4P",0.290409408035151,0.290400880247098,0.290400893852461,0.290401803884807,0.290404296962563,0.29039822301243,0.290403777925141,0.290409019573306,0.290407338943779,0.290402586660419,0.290407275914709,0.290407001027906,0.290405927598243,0.290403767017798,0.290400486267284,0.290402169145762,0.290403958819249,0.290406332624252,0.290403943448556,0.290399679856401,0.29040342629251,0.290402551024201,0.290401596098794
"Km14_GAP",0.120932570237126,0.108451734606594,0.124373529313644,0.109120288816775,0.107326312335362,0.104039675667583,0.106703767714985,0.108379035131906,0.115358895151205,0.128729038095747,0.109524340498968,0.107298699827922,0.0979005984989411,0.115723102917302,0.0978212847645986,0.113627840146357,0.115421816772019,0.110350787125026,0.109586850149881,0.114050242921543,0.0896168889722848,0.103984479543689,0.110032237255871
"Km18_Ru5P",0.0474540196476845,0.0474544157357245,0.0474540135144148,0.0474549300658229,0.0474546855767952,0.0474554633624984,0.0474543435622744,0.0474541378443083,0.0474538483305247,0.0474545347485598,0.0474541234210679,0.0474545825683533,0.0474548908518517,0.047453819301508,0.0474551054198831,0.0474548076633596,0.0474536644800214,0.0474548774605088,0.0474541778480345,0.0474546005885024,0.0474543987167446,0.0474544856908734,0.0474544399123321
"Ki57",0.225780746835076,0.240563412507454,0.223292378507385,0.225915812824519,0.245124380627167,0.223901097795049,0.213485317294654,0.236061600365116,0.235294859861488,0.228156508538974,0.238117584501009,0.243180156332532,0.236232950829012,0.230562955664469,0.234108649217378,0.230132644045226,0.226593322026717,0.229043915733894,0.241218522211505,0.216348207182378,0.239106976671807,0.2167170157109,0.231870637338101
"Vm6y22",0.0575350352304121,0.0575356435909055,0.0575351965683013,0.0575357478004365,0.0575361860351981,0.0575356182330108,0.0575362415707233,0.0575350826421046,0.0575349445878439,0.0575355370933794,0.0575351275346631,0.0575354530740791,0.0575357474053462,0.0575347240568023,0.0575352696654916,0.0575350556504481,0.0575350204357408,0.057535757239173,0.0575355319070773,0.0575350873664811,0.0575348120080655,0.0575362053790238,0.0575353351615343
"Jmaxy22",0.751305281239449,0.751306700660703,0.751306881664208,0.751307817689814,0.751304888000812,0.751316365258316,0.751306702827578,0.751306068647899,0.751303824292175,0.751303427880758,0.751315915034636,0.751314605691793,0.751292011413349,0.751324400535722,0.75130515579566,0.751303997569257,0.751308045827379,0.751313325337153,0.751307449655679,0.751298449524756,0.751313943568637,0.751309772243949,0.751302555996088
"KaRac",17.4642781195459,17.4643615679586,17.4640485882488,17.464613865478,17.4647806191516,17.4643211676965,17.4652750088175,17.4645927615257,17.4642112176469,17.4644909031534,17.4646939044527,17.4643611123166,17.4645928894805,17.4642698760274,17.4644128933078,17.4641813308626,17.4647740577353,17.4644899800729,17.4646135808162,17.4643937292477,17.464267171808,17.464940672695,17.464547164369
"tao_ActRubisco",213.203663655948,226.364830282171,198.541366380731,224.962086571251,237.144087718913,223.150793078842,223.237402222248,224.018159292842,243.676158318044,221.314951768016,226.306047610803,231.197774514585,216.844304417575,222.969132062685,229.250459819194,228.41777841237,219.589961766054,235.076784979143,228.01174984338,209.019143162291,210.089579097514,224.460060052097,225.231307584403
"Perm_CO2",0.129841853727144,0.128374054033992,0.135917279260984,0.126483039621896,0.123689584350902,0.117165190154727,0.121961954813636,0.122765036214875,0.126923355782285,0.130318535465948,0.121604363270778,0.120745248962217,0.13922330032414,0.124239496093592,0.1210587865808,0.131486482551803,0.120054427323551,0.125896309546996,0.123322202521694,0.132911990670033,0.12459387396149,0.117447313368137,0.121954613908488
"BBslope",2.77201972122574,2.77203518074482,2.77204255903802,2.77203914055183,2.7720256010256,2.772045115792,2.77202933678279,2.77201749484483,2.77203654948364,2.77202846040094,2.77201263323381,2.77202489568049,2.77203118730965,2.77202926764444,2.77203267485991,2.77201837221758,2.77201783307214,2.77203374294616,2.77203056378241,2.77203629726539,2.77204247125889,2.77203553209953,2.77203213713805
"MRd",1.20533668974905,0.974432852933579,0.974206428681976,0.976607005140712,1.08889155674578,1.15156623147736,1.3116297077003,1.06759676697437,1.06082512125095,1.29197638468829,0.986311096170004,1.16005991709268,1.05638337241098,0.988605501182112,1.10781072639282,1.38296149511039,1.37243332471364,1.27259727978746,1.21153014324608,1.01816426075392,1.16011330921895,0.919532811717298,1.11135281535412
"Vm6y23",0.0494114983161574,0.0515987995505849,0.0601396737240185,0.0737299637823274,0.068527334267357,0.0588382899623736,0.0788873288228256,0.0685255165216657,0.0530545193280189,0.060198543470088,0.0612535327414072,0.0562193031801657,0.0632029164783874,0.0602135757700459,0.0549893248832473,0.0561061512565652,0.0559806136969073,0.0657126573971243,0.054030755306621,0.0553681620750494,0.0610861958228171,0.0734117932339388,0.0635717845381365
"Jmaxy23",0.526124276618536,0.526125185602543,0.526118227159521,0.52611870087864,0.526114546597934,0.526125302756261,0.526114493816337,0.526116887293836,0.526121928736401,0.526125103045894,0.526122330524206,0.526122571741099,0.526122036820775,0.526118861697969,0.526118983381551,0.526117316188418,0.526117542196057,0.526111916240723,0.526119267645775,0.526121730829017,0.526116396710811,0.526117814260914,0.526118413646616
